Date,open,high,low,close,volume
2020-06-29,1320.0,1323.5,1291.75,1313.0,92766.0
2020-06-26,1330.0,1342.0,1318.4,1325.9,37602.0
2020-06-25,1335.8,1339.1,1312.8,1319.15,34135.0
2020-06-24,1366.5,1378.0,1324.55,1330.2,69924.0
2020-06-23,1350.0,1367.3,1328.1,1345.25,68214.0
2020-06-22,1382.0,1382.0,1335.65,1342.15,27380.0
2020-06-19,1324.9,1355.7,1316.4,1342.7,84005.0
2020-06-18,1316.0,1322.5,1295.05,1314.25,82100.0
2020-06-17,1307.0,1345.0,1307.0,1317.55,36140.0
2020-06-16,1360.0,1366.65,1305.85,1330.45,43190.0
2020-06-15,1375.0,1386.25,1332.75,1341.8,29430.0
2020-06-12,1283.0,1373.6,1280.0,1367.7,53172.0
2020-06-11,1403.0,1403.0,1335.0,1339.95,45803.0
2020-06-10,1394.9,1407.5,1381.4,1390.9,21814.0
2020-06-09,1402.55,1428.7,1385.35,1394.85,47694.0
2020-06-08,1420.0,1453.0,1396.0,1402.55,69486.0
2020-06-05,1397.9,1420.55,1385.1,1414.3,56148.0
2020-06-04,1406.0,1419.0,1371.0,1395.35,364266.0
2020-06-03,1460.0,1466.2,1398.3,1405.5,61304.0
2020-06-02,1405.8,1438.95,1405.8,1433.7,88609.0
2020-06-01,1345.0,1398.0,1337.05,1386.8,86606.0
2020-05-29,1299.4,1337.2,1284.4,1326.5,329801.0
2020-05-28,1317.0,1328.0,1295.0,1301.3,120868.0
2020-05-27,1299.8,1328.6,1256.1,1320.6,72040.0
2020-05-26,1245.0,1298.5,1231.0,1286.05,138659.0
2020-05-22,1305.0,1320.85,1267.8,1275.95,55702.0
2020-05-21,1338.0,1341.75,1289.2,1300.45,35064.0
2020-05-20,1284.4,1332.8,1279.95,1324.45,46638.0
2020-05-19,1282.0,1306.8,1264.95,1290.15,42196.0
2020-05-18,1360.0,1360.0,1273.7,1281.95,51351.0
2020-05-15,1364.0,1367.3,1323.8,1334.6,68745.0
2020-05-14,1375.0,1385.0,1355.1,1363.85,25875.0
2020-05-13,1375.0,1391.85,1329.3,1384.15,69282.0
2020-05-12,1315.0,1328.75,1287.35,1324.6,23848.0
2020-05-11,1325.0,1334.0,1302.0,1321.25,105642.0
2020-05-08,1305.0,1314.0,1287.05,1292.45,26430.0
2020-05-07,1291.0,1312.75,1273.35,1278.75,35516.0
2020-05-06,1269.05,1315.5,1248.2,1306.4,41783.0
2020-05-05,1335.0,1344.7,1259.3,1266.95,32860.0
2020-05-04,1302.05,1345.0,1302.05,1313.05,36546.0
2020-04-30,1355.0,1380.0,1320.05,1364.2,49885.0
2020-04-29,1334.0,1353.25,1330.2,1338.3,52904.0
2020-04-28,1302.0,1343.6,1296.6,1321.75,68942.0
2020-04-27,1223.0,1308.2,1223.0,1294.6,47423.0
2020-04-24,1266.9,1312.65,1230.85,1240.65,120140.0
2020-04-23,1232.0,1280.1,1205.0,1269.85,57470.0
2020-04-22,1200.0,1224.1,1171.0,1215.85,35990.0
2020-04-21,1181.0,1209.75,1158.15,1201.75,59284.0
2020-04-20,1249.9,1249.9,1204.15,1207.75,25273.0
2020-04-17,1259.0,1286.55,1204.0,1236.5,71978.0
2020-04-16,1172.5,1244.3,1152.8,1227.1,44480.0
2020-04-15,1200.0,1244.0,1189.8,1204.15,32524.0
2020-04-13,1265.0,1265.0,1155.5,1191.8,52482.0
2020-04-09,1279.9,1279.9,1220.0,1242.35,44881.0
2020-04-08,1269.85,1338.0,1228.7,1239.8,55701.0
2020-04-07,1271.9,1282.0,1203.4,1247.15,30196.0
2020-04-03,1192.0,1213.05,1147.0,1191.85,37888.0
2020-04-01,1249.9,1249.9,1170.45,1190.25,23679.0
2020-03-31,1232.15,1248.0,1207.8,1231.15,12729.0
2020-03-30,1199.5,1252.1,1154.05,1205.95,21342.0
2020-03-27,1284.55,1293.4,1190.85,1227.65,35502.0
2020-03-26,1198.0,1267.75,1127.15,1229.2,55272.0
2020-03-25,1074.85,1186.95,1041.1,1152.65,40745.0
2020-03-24,1098.0,1128.55,1052.05,1079.05,22812.0
2020-03-23,1187.0,1222.15,1050.45,1062.9,36486.0
2020-03-20,1090.05,1284.8,1090.05,1230.1,71842.0
2020-03-19,1081.05,1147.0,1017.2,1100.55,121276.0
2020-03-18,1318.0,1336.3,1181.0,1196.7,38638.0
2020-03-17,1350.05,1370.5,1297.1,1306.75,36544.0
2020-03-16,1452.0,1452.0,1332.05,1349.05,29269.0
2020-03-13,1463.1988,1465.6778,1448.7875,1452.0,882748.0
2020-03-12,1481.0,1481.0,1388.3,1410.6,67998.0
2020-03-11,1530.0,1532.3,1469.0,1488.35,28340.0
2020-03-09,1530.3904,1530.5988,1529.5561,1530.0,75938.0
2020-03-06,1609.9,1609.9,1536.0,1548.25,24917.0
2020-03-05,1632.0,1632.0,1541.25,1612.1,21817.0
2020-03-04,1632.0,1635.0,1538.5,1588.75,31606.0
2020-03-03,1638.8,1659.2,1596.9,1619.8,22600.0
2020-03-02,1650.0,1688.5,1621.8,1633.35,29573.0
2020-02-28,1647.0,1668.0,1606.0,1644.4,19532.0
2020-02-27,1689.7,1690.85,1641.0,1674.2,13034.0
2020-02-26,1714.9,1714.9,1668.2,1678.9,16727.0
2020-02-25,1768.0,1772.1,1715.25,1719.65,16038.0
2020-02-24,1790.9,1806.2,1753.45,1759.45,12104.0
2020-02-20,1817.95,1824.95,1795.5,1803.4,7185.0
2020-02-19,1812.9,1812.9,1782.1,1801.0,35193.0
2020-02-18,1785.0,1817.8,1785.0,1797.45,47893.0
2020-02-17,1783.25,1804.65,1765.15,1784.05,12223.0
2020-02-14,1816.0,1828.2,1774.1,1783.25,14025.0
2020-02-13,1829.05,1835.0,1809.3,1814.1,11809.0
2020-02-12,1814.7,1839.3,1799.2,1823.3,22254.0
2020-02-11,1825.0,1840.0,1794.0,1800.05,12451.0
2020-02-10,1843.0,1844.5,1793.5,1821.85,16468.0
2020-02-07,1880.0,1897.0,1815.05,1841.95,93362.0
2020-02-06,1877.15,1883.1,1849.1,1853.25,9777.0
2020-02-05,1887.5,1887.5,1856.0,1871.75,12209.0
2020-02-04,1869.9,1882.3,1839.75,1865.0,24617.0
2020-02-03,1819.7,1863.0,1785.0,1848.9,22955.0
2020-01-31,1841.1,1841.1,1796.3,1801.25,13042.0
2020-01-30,1856.0,1856.0,1820.45,1826.75,11191.0
2020-01-29,1836.1,1859.85,1823.0,1856.1,9816.0
2020-01-28,1850.4,1858.0,1829.0,1832.5,14773.0
2020-01-27,1849.9,1866.0,1833.0,1850.0,33168.0
2020-01-24,1802.0,1850.2,1802.0,1847.3,59370.0
2020-01-23,1783.05,1808.0,1768.85,1800.65,32439.0
2020-01-22,1787.8,1790.0,1767.0,1773.75,6426.0
2020-01-21,1782.4,1799.0,1758.3,1786.4,21098.0
2020-01-20,1792.0,1804.75,1781.15,1792.9,11485.0
2020-01-17,1787.0,1799.0,1783.95,1789.6,8093.0
2020-01-16,1792.0,1802.4,1772.45,1776.5,8089.0
2020-01-15,1780.0,1792.05,1771.4,1789.0,9468.0
2020-01-14,1762.1,1784.95,1755.0,1767.7,41102.0
2020-01-13,1760.0,1763.4,1753.05,1757.5,6076.0
2020-01-10,1761.0,1769.05,1750.0,1755.85,14314.0
2020-01-09,1739.0,1771.15,1734.0,1761.4,11480.0
2020-01-08,1699.95,1734.9,1689.0,1731.3,10232.0
2020-01-07,1719.0,1737.9,1707.25,1716.7,9819.0
2020-01-06,1718.25,1733.15,1687.35,1703.45,17130.0
2020-01-03,1750.05,1756.7,1730.3,1740.8,43443.0
2020-01-02,1745.25,1758.05,1732.4,1751.0,13335.0
2020-01-01,1760.0,1763.25,1742.65,1745.6,9335.0
2019-12-31,1761.9,1771.8,1745.5,1750.7,25834.0
2019-12-30,1789.0,1789.0,1713.6,1761.6,36643.0
2019-12-27,1716.95,1724.35,1698.3,1712.65,13509.0
2019-12-26,1714.45,1721.15,1700.0,1716.85,8294.0
2019-12-24,1715.0,1725.55,1704.65,1710.35,27718.0
2019-12-23,1698.85,1724.3,1695.05,1707.7,17767.0
2019-12-20,1671.4,1698.1,1671.4,1692.7,63326.0
2019-12-19,1665.0,1680.45,1662.35,1667.4,10659.0
2019-12-18,1685.0,1686.25,1655.0,1662.4,8951.0
2019-12-17,1699.25,1699.3,1676.4,1683.1,46658.0
2019-12-16,1726.0,1732.05,1690.0,1699.0,10627.0
2019-12-13,1705.0,1737.3,1705.0,1722.95,61859.0
2019-12-12,1721.5,1721.5,1702.3,1710.9,11357.0
2019-12-11,1690.0,1729.5,1690.0,1713.85,66141.0
2019-12-10,1690.0,1710.65,1678.15,1699.35,40479.0
2019-12-09,1700.0,1712.55,1681.6,1688.8,17845.0
2019-12-06,1705.0,1723.0,1691.45,1703.5,19974.0
2019-12-05,1679.4,1718.95,1676.2,1706.85,31354.0
2019-12-04,1684.0,1695.9,1666.6,1676.35,42602.0
2019-12-03,1626.8,1685.4,1626.0,1678.55,89494.0
2019-12-02,1624.6,1636.75,1616.7,1626.8,33625.0
2019-11-29,1636.0,1643.9,1623.1,1629.5,14151.0
2019-11-28,1620.0,1638.2,1613.1,1634.35,14626.0
2019-11-27,1610.1,1631.0,1607.0,1620.3,26873.0
2019-11-26,1640.05,1650.0,1618.85,1624.3,8458.0
2019-11-25,1646.0,1651.75,1627.6,1640.35,13688.0
2019-11-22,1639.0,1649.0,1616.5,1642.3,24391.0
2019-11-21,1686.0,1690.6,1633.6,1638.3,21347.0
2019-11-20,1689.9,1701.1,1678.1,1683.1,37902.0
2019-11-19,1701.0,1707.0,1681.0,1686.45,50665.0
2019-11-18,1730.6,1738.1,1699.05,1702.2,16925.0
2019-11-15,1710.1,1743.05,1709.7,1730.6,29735.0
2019-11-14,1683.85,1775.65,1683.85,1710.1,87967.0
2019-11-13,1710.0,1710.0,1677.5,1683.85,24570.0
2019-11-11,1699.0,1722.0,1684.25,1704.05,18556.0
2019-11-08,1729.0,1740.95,1689.05,1698.1,21853.0
2019-11-07,1701.35,1729.6,1696.0,1725.8,15363.0
2019-11-06,1705.0,1727.0,1688.55,1710.1,24403.0
2019-11-05,1739.0,1741.3,1698.3,1704.45,22111.0
2019-11-04,1750.0,1759.0,1716.2,1730.5,23868.0
2019-11-01,1809.0,1809.0,1733.15,1741.6,46413.0
2019-10-31,1785.5,1815.0,1779.1,1806.75,48226.0
2019-10-30,1781.0,1787.45,1765.0,1780.85,36221.0
2019-10-29,1771.0,1791.0,1755.0,1781.75,16364.0
2019-10-25,1780.0,1796.0,1754.75,1763.4,25486.0
2019-10-24,1784.0,1792.2,1771.5,1789.75,12370.0
2019-10-23,1768.0,1787.0,1763.75,1772.0,18473.0
2019-10-22,1789.0,1803.25,1744.85,1767.2,80678.0
2019-10-18,1751.0,1779.5,1738.1,1768.1,42544.0
2019-10-17,1700.0,1750.55,1689.6,1747.45,36125.0
2019-10-16,1718.2,1718.2,1694.65,1700.8,13202.0
2019-10-15,1730.0,1732.2,1709.4,1716.45,14678.0
2019-10-14,1706.1,1737.95,1706.1,1729.05,16599.0
2019-10-11,1704.5,1727.0,1700.55,1708.7,36045.0
2019-10-10,1712.2,1749.0,1691.2,1701.75,74416.0
2019-10-09,1681.9,1735.7,1662.3,1723.2,33518.0
2019-10-07,1670.0,1698.7,1653.2,1681.9,35406.0
2019-10-04,1691.0,1699.0,1668.7,1673.65,16953.0
2019-10-03,1724.7,1738.25,1676.0,1687.25,39893.0
2019-10-01,1725.5,1753.0,1724.9,1736.85,26864.0
2019-09-30,1789.75,1789.75,1714.0,1723.1,38633.0
2019-09-27,1720.0,1762.35,1701.0,1754.7,41284.0
2019-09-26,1706.75,1727.65,1688.3,1720.2,22050.0
2019-09-25,1718.8,1719.4,1700.85,1706.75,20050.0
2019-09-24,1735.0,1754.1,1701.65,1720.25,27671.0
2019-09-23,1626.9,1770.0,1626.9,1733.05,56384.0
2019-09-20,1529.0,1649.0,1509.8,1624.6,217794.0
2019-09-19,1542.05,1545.8,1526.85,1529.7,20736.0
2019-09-18,1560.0,1568.0,1530.0,1545.5,22237.0
2019-09-17,1570.0,1576.0,1556.65,1561.5,13470.0
2019-09-16,1559.0,1575.0,1554.65,1570.05,15157.0
2019-09-13,1555.2,1570.0,1549.05,1566.2,28985.0
2019-09-12,1570.0,1579.45,1544.55,1551.2,23910.0
2019-09-11,1560.0,1574.05,1558.7,1572.1,15333.0
2019-09-09,1544.0,1564.3,1539.4,1559.75,43758.0
2019-09-06,1520.25,1544.2,1512.05,1540.95,13994.0
2019-09-05,1535.4,1551.0,1516.55,1521.45,27134.0
2019-09-04,1540.0,1547.2,1526.0,1540.9,18083.0
2019-09-03,1539.95,1555.0,1531.85,1539.1,33878.0
2019-08-30,1500.0,1545.75,1500.0,1541.45,39125.0
2019-08-29,1509.0,1515.0,1492.0,1505.45,22913.0
2019-08-28,1519.0,1520.75,1502.3,1507.7,31683.0
2019-08-27,1481.0,1514.6,1475.8,1509.1,42428.0
2019-08-26,1493.0,1495.65,1470.65,1475.8,24423.0
2019-08-23,1454.35,1485.2,1436.0,1481.8,32251.0
2019-08-22,1470.2,1474.45,1447.35,1457.6,22809.0
2019-08-21,1470.05,1488.45,1468.2,1475.85,21369.0
2019-08-20,1473.0,1483.8,1466.35,1471.75,26640.0
2019-08-19,1473.2,1492.4,1465.0,1473.55,48127.0
2019-08-16,1456.0,1479.05,1450.0,1473.65,41733.0
2019-08-14,1437.25,1461.0,1429.65,1450.55,27448.0
2019-08-13,1421.0,1458.5,1420.65,1432.75,42724.0
2019-08-09,1444.0,1444.0,1406.8,1426.4,32631.0
2019-08-08,1410.65,1435.0,1398.6,1427.8,35674.0
2019-08-07,1423.0,1444.05,1388.3,1400.1,71296.0
2019-08-06,1360.0,1414.0,1360.0,1404.8,96234.0
2019-08-05,1320.0,1380.95,1285.2,1368.05,138699.0
2019-08-02,1280.0,1320.9,1280.0,1310.2,101610.0
2019-08-01,1309.25,1316.0,1293.3,1302.3,26538.0
2019-07-31,1295.95,1319.2,1264.1,1307.4,33889.0
2019-07-30,1307.0,1323.2,1293.25,1302.05,16948.0
2019-07-29,1320.1,1325.0,1300.0,1302.85,31122.0
2019-07-26,1300.75,1328.0,1295.05,1315.65,30167.0
2019-07-25,1318.0,1318.0,1293.45,1300.75,28646.0
2019-07-24,1284.05,1315.9,1275.5,1307.25,22810.0
2019-07-23,1280.0,1289.8,1251.6,1283.75,46085.0
2019-07-22,1275.0,1291.3,1263.55,1280.15,52322.0
2019-07-19,1343.0,1343.0,1283.05,1294.6,46951.0
2019-07-18,1353.0,1359.15,1332.85,1340.85,28439.0
