Date,open,high,low,close,volume
2020-06-29,36.4,36.8,35.4,35.7,2542522.0
2020-06-26,38.85,38.85,36.5,36.85,6848079.0
2020-06-25,36.3,38.5,35.5,37.85,8355379.0
2020-06-24,35.95,39.8,35.55,36.3,20217097.0
2020-06-23,34.0,35.35,33.75,34.9,7767427.0
2020-06-22,33.6,34.9,32.25,33.7,9154320.0
2020-06-19,32.45,33.0,31.8,32.4,9363676.0
2020-06-18,28.55,32.15,28.5,31.75,20658889.0
2020-06-17,28.25,28.65,27.3,27.45,4028173.0
2020-06-16,29.8,30.0,27.6,28.35,6021780.0
2020-06-15,29.05,30.6,28.45,29.1,7359041.0
2020-06-12,28.9,31.8,28.3,31.45,4826333.0
2020-06-11,30.8,32.25,29.8,30.0,4285334.0
2020-06-10,31.55,32.4,30.55,31.25,6581792.0
2020-06-09,28.35,31.4,27.8,30.7,9924292.0
2020-06-08,28.75,28.8,27.55,28.0,3295913.0
2020-06-05,27.0,27.95,26.95,27.8,2713840.0
2020-06-04,27.75,28.0,26.4,26.8,2483240.0
2020-06-03,28.45,28.75,27.5,27.7,3247956.0
2020-06-02,28.0,28.55,27.45,28.0,2461678.0
2020-06-01,28.5,29.0,27.75,28.0,3816965.0
2020-05-29,26.8,28.4,26.15,27.95,5011152.0
2020-05-28,25.45,27.25,25.15,26.85,4867852.0
2020-05-27,25.15,25.35,24.8,25.25,1362933.0
2020-05-26,25.0,25.45,24.35,24.85,2018379.0
2020-05-22,25.45,25.55,24.15,24.55,2627508.0
2020-05-21,26.2,26.25,25.3,25.5,1917762.0
2020-05-20,25.3,26.6,24.95,25.95,3272330.0
2020-05-19,26.55,26.55,25.25,25.4,2516251.0
2020-05-18,27.85,28.35,25.9,26.05,4304423.0
2020-05-15,27.4,28.25,27.0,27.3,4588811.0
2020-05-14,27.0,29.3,25.0,27.4,13113686.0
2020-05-13,23.2,27.15,22.15,26.65,27960408.0
2020-05-12,22.45,22.45,21.4,21.55,1712390.0
2020-05-11,22.7,23.0,22.15,22.6,1526496.0
2020-05-08,23.45,23.45,21.8,22.2,1849425.0
2020-05-07,23.0,23.3,22.7,23.1,1606578.0
2020-05-06,23.1,23.4,22.75,23.0,1941888.0
2020-05-05,24.8,24.8,22.6,22.85,4418433.0
2020-05-04,22.0,24.85,20.9,23.5,20970375.0
2020-04-30,21.2,22.9,21.15,22.4,4226534.0
2020-04-29,21.2,21.3,20.85,20.95,984081.0
2020-04-28,20.9,21.15,20.65,20.9,831623.0
2020-04-27,21.0,21.1,20.4,20.65,1095571.0
2020-04-24,21.35,21.4,20.6,20.7,1263026.0
2020-04-23,21.7,21.85,21.25,21.4,1037510.0
2020-04-22,21.7,21.8,20.9,21.35,1392775.0
2020-04-21,22.35,22.35,21.55,21.7,1419394.0
2020-04-20,22.1,23.15,21.65,22.65,2768723.0
2020-04-17,22.55,22.55,21.55,21.85,1546965.0
2020-04-16,21.55,21.9,21.2,21.75,1693151.0
2020-04-15,22.9,23.15,21.1,21.45,2205649.0
2020-04-13,23.5,23.5,21.85,22.05,2169714.0
2020-04-09,21.85,22.6,21.45,22.35,2212412.0
2020-04-08,21.5,22.65,21.05,21.25,2132656.0
2020-04-07,21.0,21.45,20.9,21.3,1172950.0
2020-04-03,21.2,21.25,20.4,20.65,891684.0
2020-04-01,20.6,21.2,20.4,20.7,808864.0
2020-03-31,20.95,21.15,20.2,20.8,1013522.0
2020-03-30,20.2,20.65,19.7,20.25,1227106.0
2020-03-27,20.65,21.9,20.2,20.4,1301632.0
2020-03-26,20.5,21.1,19.45,20.6,1189198.0
2020-03-25,20.0,20.2,19.2,19.9,957900.0
2020-03-24,20.5,21.2,19.5,20.05,1822215.0
2020-03-23,22.0,22.0,20.05,20.2,1457676.0
2020-03-20,23.25,23.9,22.1,23.4,2576563.0
2020-03-19,22.9,23.5,21.85,22.5,2754348.0
2020-03-18,23.9,24.35,22.4,23.45,2843141.0
2020-03-17,24.0,25.3,23.0,23.4,2270943.0
2020-03-16,24.75,25.7,23.35,23.7,2548802.0
2020-03-13,24.757,24.7792,24.7472,24.75,134674.0
2020-03-12,26.75,26.75,24.0,24.25,3360913.0
2020-03-11,27.5,28.6,27.2,27.55,2938698.0
2020-03-09,27.4495,27.5684,27.3479,27.5,102225.0
2020-03-06,30.25,30.25,29.0,29.55,1170359.0
2020-03-05,30.65,31.35,30.0,30.7,1529651.0
2020-03-04,31.2,31.2,29.85,30.65,18335525.0
2020-03-03,30.15,31.3,29.85,30.65,18795776.0
2020-03-02,31.4,31.7,29.05,29.5,1194964.0
2020-02-28,31.95,31.95,30.35,30.6,1098948.0
2020-02-27,33.45,33.45,32.1,32.55,926532.0
2020-02-26,33.8,33.8,33.1,33.25,698538.0
2020-02-25,33.95,34.5,33.7,33.9,726029.0
2020-02-24,34.7,34.75,33.75,33.95,671658.0
2020-02-20,35.4,35.85,34.9,35.1,921297.0
2020-02-19,34.95,35.5,34.2,35.4,947784.0
2020-02-18,34.4,34.9,33.4,34.7,1569001.0
2020-02-17,36.25,36.4,34.7,34.8,878552.0
2020-02-14,37.2,37.45,36.0,36.2,1041120.0
2020-02-13,36.9,37.3,36.25,37.05,952813.0
2020-02-12,37.95,38.15,35.8,36.35,2617067.0
2020-02-11,39.0,39.1,38.25,38.55,940716.0
2020-02-10,39.95,40.0,37.9,38.25,1049430.0
2020-02-07,39.6,40.25,39.25,39.8,926377.0
2020-02-06,39.8,40.2,39.45,39.55,713274.0
2020-02-05,40.05,40.5,39.25,39.6,1100639.0
2020-02-04,40.0,40.2,39.35,39.9,789211.0
2020-02-03,40.2,40.5,38.8,39.4,1231544.0
2020-01-31,44.4,44.55,42.05,42.7,1019145.0
2020-01-30,44.75,44.75,43.3,44.05,907583.0
2020-01-29,43.8,45.1,43.6,44.55,867373.0
2020-01-28,44.25,44.4,43.1,43.3,552063.0
2020-01-27,44.9,44.9,43.8,43.95,916756.0
2020-01-24,43.65,45.2,43.4,45.0,1185977.0
2020-01-23,43.4,44.0,43.3,43.45,759462.0
2020-01-22,44.1,44.1,43.05,43.4,744686.0
2020-01-21,44.95,45.45,43.2,43.35,1166978.0
2020-01-20,46.35,46.55,44.7,44.95,1071442.0
2020-01-17,47.1,47.1,46.05,46.15,481113.0
2020-01-16,47.6,47.75,46.45,46.55,779574.0
2020-01-15,45.95,46.95,45.5,46.85,777089.0
2020-01-14,46.65,46.65,45.45,45.9,715293.0
2020-01-13,45.0,46.55,44.7,46.05,780051.0
2020-01-10,45.2,45.5,44.4,44.75,681305.0
2020-01-09,44.0,45.1,43.8,44.9,1128104.0
2020-01-08,42.6,43.35,42.45,43.15,659823.0
2020-01-07,43.05,44.0,42.7,43.4,989070.0
2020-01-06,44.4,44.4,42.4,42.65,1010116.0
2020-01-03,45.45,45.65,44.35,44.65,773682.0
2020-01-02,43.5,45.8,43.5,45.4,1581232.0
2020-01-01,43.55,44.1,43.3,43.5,806408.0
2019-12-31,42.95,43.8,42.65,43.45,781283.0
2019-12-30,43.3,43.5,42.65,42.85,434651.0
2019-12-27,42.8,43.3,42.6,43.1,1028548.0
2019-12-26,43.5,43.65,42.4,42.5,954171.0
2019-12-24,44.1,44.35,43.4,43.45,987125.0
2019-12-23,44.7,45.4,43.95,44.1,948148.0
2019-12-20,43.8,45.35,43.1,44.85,2528351.0
2019-12-19,45.05,45.15,44.2,44.45,1357499.0
2019-12-18,46.1,46.35,45.0,45.25,751308.0
2019-12-17,45.65,46.4,45.6,45.9,648225.0
2019-12-16,46.9,46.9,45.45,45.55,750557.0
2019-12-13,45.0,46.8,45.0,46.65,1134433.0
2019-12-12,44.5,45.85,44.05,45.2,1173388.0
2019-12-11,44.75,45.2,43.5,44.2,1388904.0
