Date,open,high,low,close,volume
2020-06-29,25.93,25.93,23.47,23.47,96837.0
2020-06-26,25.9428,26.0946,25.9101,25.93,727945.0
2020-06-25,25.9502,26.0695,25.9017,25.9428,361120.0
2020-06-24,25.9928,26.1515,25.9272,25.9502,620067.0
2020-06-23,19.98,20.38,19.43,20.38,43352.0
2020-06-22,18.18,18.53,17.6,18.53,22970.0
2020-06-19,17.49,17.6,16.7,16.85,13196.0
2020-06-18,16.9,17.75,16.7,17.11,42294.0
2020-06-17,16.31,16.7,16.31,16.52,7049.0
2020-06-16,16.47,17.39,15.96,15.99,28042.0
2020-06-15,17.0,17.0,15.55,16.31,3556.0
2020-06-12,15.6,16.58,14.96,15.9,36371.0
2020-06-11,17.55,17.55,15.99,16.21,8210.0
2020-06-10,18.0,18.0,16.2,16.78,4957.0
2020-06-09,17.67,17.67,16.29,16.51,17651.0
2020-06-08,17.3,17.76,17.0,17.29,25891.0
2020-06-05,16.2,17.5,16.2,17.34,24564.0
2020-06-04,16.54,16.61,15.45,15.97,7090.0
2020-06-03,16.1,16.43,16.0,16.2,9656.0
2020-06-02,16.1295,16.2126,16.0207,16.1,976150.0
2020-06-01,14.95,15.01,14.9,14.92,3499.0
2020-05-29,14.45,14.7,14.0,14.3,3993.0
2020-05-28,14.65,14.75,14.2,14.5,1144.0
2020-05-27,14.9,14.9,14.1,14.45,2053.0
2020-05-26,14.2,14.7,14.15,14.2,886.0
2020-05-22,14.55,15.1,13.9,14.2,5505.0
2020-05-21,14.7,14.8,14.25,14.6,3689.0
2020-05-20,13.95,14.7,13.9,14.55,2624.0
2020-05-19,14.95,14.95,13.8,14.2,3824.0
2020-05-18,15.05,15.05,14.3,14.35,2740.0
2020-05-15,15.1,15.1,14.5,15.0,8895.0
2020-05-14,15.85,15.85,14.7,15.25,3959.0
2020-05-13,15.8198,15.9206,15.7181,15.85,933157.0
2020-05-12,15.05,15.05,14.25,14.4,3908.0
2020-05-11,14.45,15.05,14.0,14.95,14566.0
2020-05-08,14.5143,14.5222,14.4209,14.45,618345.0
2020-05-07,15.55,15.55,14.25,14.8,5531.0
2020-05-06,15.3,15.3,14.4,14.95,3968.0
2020-05-05,14.4,15.85,14.4,14.95,6257.0
2020-05-04,15.5,15.5,15.0,15.1,8281.0
2020-04-30,15.5685,15.5945,15.4612,15.5,516767.0
2020-04-29,14.95,15.05,14.8,15.01,10708.0
2020-04-28,16.15,16.15,15.0,15.09,7736.0
2020-04-27,16.8,16.8,15.3,15.51,6678.0
2020-04-24,16.15,16.49,15.32,16.07,11283.0
2020-04-23,15.36,16.12,15.3,16.11,43484.0
2020-04-22,15.39,16.0,15.36,15.36,2227.0
2020-04-21,15.36,15.4793,15.3571,15.39,612645.0
2020-04-20,18.5,18.79,17.01,17.01,20070.0
2020-04-17,18.5284,18.535,18.4602,18.5,626348.0
2020-04-16,18.4703,18.7101,18.4178,18.5284,784521.0
2020-04-15,18.6005,18.6068,18.4666,18.4703,329682.0
2020-04-13,18.5311,18.6688,18.4901,18.6005,975045.0
2020-04-09,18.7007,18.7094,18.4682,18.5311,788188.0
2020-04-08,18.7447,18.7867,18.5564,18.7007,195544.0
2020-04-07,18.7406,18.79,18.6231,18.7447,895523.0
2020-04-03,18.7358,18.7686,18.5783,18.7406,19620.0
2020-04-01,11.88,12.15,11.51,12.15,6030.0
2020-03-31,11.849,11.8863,11.813,11.88,13173.0
2020-03-30,9.5,10.35,9.15,10.05,7321.0
2020-03-27,10.35,10.35,9.3,9.55,5514.0
2020-03-26,9.7,10.25,9.35,9.45,17688.0
2020-03-25,9.25,9.65,8.95,9.45,5782.0
2020-03-24,9.15,9.35,8.6,9.15,9280.0
2020-03-23,10.0,10.4,8.85,9.15,21038.0
2020-03-20,9.0,9.8,8.9,9.8,17072.0
2020-03-19,8.9,9.75,8.85,8.95,20817.0
2020-03-18,10.85,11.2,9.8,9.8,11618.0
2020-03-17,10.5,11.15,10.15,10.85,15687.0
2020-03-16,11.35,11.65,10.8,10.95,5229.0
2020-03-13,11.2805,11.3609,11.2747,11.35,879154.0
2020-03-12,13.25,13.6,11.65,12.15,32346.0
2020-03-11,14.15,14.65,14.15,14.4,4530.0
2020-03-09,14.0493,14.1647,14.0211,14.15,893820.0
2020-03-06,15.2,15.6,14.85,15.2,8504.0
2020-03-05,16.35,16.95,16.2,16.25,8663.0
2020-03-04,16.75,16.95,15.2,16.05,13146.0
2020-03-03,17.2,17.7,16.5,16.75,12461.0
2020-03-02,17.6,17.95,16.8,17.0,8333.0
2020-02-28,17.15,17.7,16.9,17.0,7710.0
2020-02-27,18.5,18.5,17.9,18.05,2972.0
2020-02-26,18.8,19.2,18.4,18.45,11219.0
2020-02-25,18.55,20.0,18.35,19.05,14406.0
2020-02-24,19.05,19.1,18.25,18.45,11916.0
2020-02-20,19.7,19.9,19.1,19.2,3620.0
2020-02-19,19.65,19.85,19.35,19.65,9224.0
2020-02-18,20.6,21.0,19.0,19.4,16186.0
2020-02-17,21.25,21.4,20.3,20.9,6308.0
2020-02-14,22.25,22.6,20.75,21.4,15283.0
2020-02-13,21.75,23.4,21.3,22.2,11881.0
2020-02-12,21.0,22.25,20.5,21.95,53796.0
2020-02-11,21.4,21.4,19.8,19.9,9354.0
2020-02-10,22.15,22.15,20.65,21.05,14164.0
2020-02-07,22.4,22.5,22.05,22.1,5777.0
2020-02-06,23.0,23.5,22.5,22.8,13131.0
2020-02-05,23.0,23.25,22.25,22.95,14981.0
2020-02-04,21.65,22.4,21.65,22.2,21232.0
2020-02-03,21.45,21.8,20.8,21.45,23331.0
2020-01-31,23.1,23.2,22.35,22.5,9675.0
2020-01-30,22.1,23.6,22.1,23.1,46565.0
2020-01-29,22.15,22.4,22.0,22.15,12465.0
2020-01-28,22.05,22.5,21.75,22.0,9580.0
2020-01-27,22.25,22.5,21.75,21.85,16210.0
2020-01-24,22.5,23.4,22.4,22.55,22620.0
2020-01-23,22.2,22.55,21.65,22.0,17720.0
2020-01-22,22.0,22.5,21.45,21.6,61164.0
2020-01-21,21.5,22.5,21.45,21.7,6691.0
2020-01-20,23.5,23.5,22.0,22.2,14016.0
2020-01-17,23.65,23.8,23.1,23.25,21446.0
2020-01-16,22.0,24.25,22.0,23.9,56121.0
2020-01-15,22.55,22.55,21.65,22.1,22684.0
2020-01-14,24.75,24.75,22.4,22.65,51560.0
2020-01-13,21.5,24.45,20.75,23.1,147335.0
2020-01-10,20.5,21.2,19.6,20.8,50340.0
2020-01-09,20.85,21.35,20.05,20.55,22835.0
2020-01-08,19.4,20.75,19.4,20.55,44767.0
2020-01-07,19.2,20.6,18.9,20.1,27612.0
2020-01-06,19.15,19.4,18.7,18.7,11565.0
2020-01-03,19.95,21.0,19.8,19.95,10948.0
2020-01-02,19.3,20.75,19.0,20.35,38518.0
2020-01-01,19.05,19.4,19.05,19.2,2402.0
2019-12-31,19.35,19.45,18.85,19.05,8048.0
2019-12-30,19.5,20.2,19.05,19.4,29879.0
2019-12-27,18.55,19.25,18.25,19.0,21428.0
2019-12-26,18.3,18.75,18.3,18.4,10116.0
2019-12-24,18.6,18.95,18.4,18.55,2426.0
2019-12-23,19.1,19.1,18.7,18.75,9257.0
2019-12-20,18.55,18.6,18.4,18.45,1450.0
2019-12-19,18.8,19.05,18.6,18.75,14535.0
2019-12-18,19.3,19.5,18.7,18.75,27179.0
2019-12-17,19.75,20.0,18.9,19.05,41444.0
