Date,open,high,low,close,volume
2020-06-29,638.4,648.0,636.3,645.05,227283.0
2020-06-26,640.0,643.35,631.6,634.7,196820.0
2020-06-25,632.0,642.0,628.5,635.1,255160.0
2020-06-24,661.0,661.0,628.1,631.65,233107.0
2020-06-23,675.8,675.8,655.6,659.7,315167.0
2020-06-22,696.0,696.0,652.0,655.8,1313721.0
2020-06-19,652.5,652.5,632.0,637.1,282980.0
2020-06-18,638.0,644.4,636.75,641.55,243713.0
2020-06-17,635.15,643.8,635.15,640.5,90013.0
2020-06-16,646.55,649.5,632.8,637.85,68762.0
2020-06-15,643.0,653.15,637.35,643.35,204307.0
2020-06-12,625.0,645.0,618.85,643.65,169572.0
2020-06-11,644.9,646.9,633.2,634.95,89411.0
2020-06-10,646.6,650.5,639.8,642.5,187784.0
2020-06-09,638.6,654.0,637.1,639.9,274278.0
2020-06-08,655.0,657.7,633.5,635.25,242726.0
2020-06-05,663.0,669.65,649.05,651.1,166955.0
2020-06-04,644.0,665.0,644.0,660.9,316445.0
2020-06-03,646.1,649.4,635.45,641.45,154648.0
2020-06-02,648.95,658.25,636.25,637.45,301936.0
2020-06-01,651.0,652.25,634.8,642.05,224207.0
2020-05-29,635.0,651.0,632.05,647.6,781715.0
2020-05-28,635.9,637.45,626.35,628.3,119160.0
2020-05-27,631.7,637.5,625.9,632.9,162164.0
2020-05-26,640.0,646.8,624.25,627.85,254079.0
2020-05-22,617.95,641.8,610.05,639.0,319554.0
2020-05-21,620.15,626.6,612.7,616.45,209083.0
2020-05-20,595.0,623.95,595.0,620.35,398711.0
2020-05-19,604.0,608.7,590.6,594.8,327867.0
2020-05-18,570.45,604.6,570.45,600.6,647153.0
2020-05-15,571.0,585.0,565.9,570.2,360013.0
2020-05-14,572.0,577.8,566.1,569.6,195110.0
2020-05-13,603.5,603.5,569.1,570.2,343320.0
2020-05-12,584.7,593.6,566.25,570.0,245269.0
2020-05-11,600.0,600.7,583.85,586.1,157583.0
