Date,open,high,low,close,volume
2020-06-29,148.5,148.5,145.9,147.4,214199.0
2020-06-26,152.0,152.1,148.5,148.9,233968.0
2020-06-25,147.5,151.15,147.15,150.2,184375.0
2020-06-24,155.0,157.2,148.5,149.4,393351.0
2020-06-23,156.0,156.8,154.1,154.4,117669.0
2020-06-22,153.95,155.5,151.65,154.1,193544.0
2020-06-19,149.2,153.9,149.2,151.9,388446.0
2020-06-18,147.45,149.0,145.9,148.2,227509.0
2020-06-17,151.0,151.75,147.6,148.0,183058.0
2020-06-16,150.7,153.0,148.0,151.0,236291.0
2020-06-15,154.05,154.75,149.2,149.75,127182.0
2020-06-12,147.0,155.2,145.0,154.65,282812.0
2020-06-11,158.9,161.25,149.75,151.95,340204.0
2020-06-10,158.65,160.0,157.4,158.35,96280.0
2020-06-09,160.05,161.4,156.1,158.65,255607.0
2020-06-08,169.0,169.0,158.0,158.7,749732.0
2020-06-05,174.0,174.1,170.6,173.0,118378.0
2020-06-04,169.2,171.9,165.5,171.35,129078.0
2020-06-03,172.0,173.75,167.15,168.9,91467.0
2020-06-02,173.85,175.35,170.05,170.55,125455.0
2020-06-01,165.0,175.15,164.65,173.2,600972.0
2020-05-29,157.85,164.6,156.6,163.05,109976.0
2020-05-28,158.95,159.7,156.75,158.6,58211.0
2020-05-27,160.6,160.6,154.3,155.85,666022.0
2020-05-26,154.0,160.65,152.25,159.55,99139.0
2020-05-22,156.0,157.65,152.15,153.85,60372.0
2020-05-21,150.1,156.35,150.05,155.0,86294.0
2020-05-20,150.5,150.7,148.0,149.5,49402.0
2020-05-19,151.95,153.35,148.4,149.85,70252.0
2020-05-18,156.7,156.7,150.5,151.1,142498.0
2020-05-15,153.8,156.05,150.25,155.0,106520.0
2020-05-14,152.3,152.5,148.8,150.55,60370.0
2020-05-13,158.5,159.25,151.6,152.8,138710.0
2020-05-12,150.4,153.8,145.7,152.4,164688.0
2020-05-11,149.0,149.95,146.55,148.25,59595.0
2020-05-08,149.0,149.9,146.05,146.8,29105.0
2020-05-07,145.0,150.5,145.0,147.0,45729.0
2020-05-06,147.5,150.0,142.4,147.35,72299.0
2020-05-05,151.5,151.5,145.75,147.1,66623.0
2020-05-04,153.0,153.0,146.5,147.35,72629.0
2020-04-30,160.0,163.3,155.5,157.25,250042.0
2020-04-29,146.6,156.6,146.6,155.3,196535.0
2020-04-28,150.7,150.7,144.6,146.15,40008.0
2020-04-27,150.85,151.2,147.55,147.9,43467.0
2020-04-24,148.0,151.75,145.65,148.45,84692.0
2020-04-23,150.0,151.0,145.55,149.5,203760.0
2020-04-22,141.3,148.55,138.45,147.2,297577.0
2020-04-21,149.85,149.85,140.55,141.3,154907.0
2020-04-20,149.8,154.85,146.75,149.85,280653.0
2020-04-17,144.0,146.85,141.4,146.3,92172.0
2020-04-16,141.0,143.65,137.2,142.5,100954.0
2020-04-15,146.95,146.95,139.2,140.5,76890.0
2020-04-13,147.8,148.15,141.55,143.0,78813.0
2020-04-09,140.0,151.75,139.1,148.05,171481.0
2020-04-08,142.0,145.9,136.7,139.95,77865.0
2020-04-07,130.05,141.65,130.05,140.0,98106.0
2020-04-03,135.0,135.0,127.5,128.8,102728.0
2020-04-01,130.8,134.95,129.5,131.85,127667.0
2020-03-31,128.05,132.8,125.85,131.25,44498.0
2020-03-30,130.75,132.25,126.0,126.85,48938.0
2020-03-27,130.8,133.2,126.3,130.9,73507.0
2020-03-26,133.0,134.5,125.0,126.65,108571.0
2020-03-25,135.0,135.35,130.05,131.9,45162.0
2020-03-24,132.55,140.0,126.7,136.1,133145.0
2020-03-23,139.8,144.0,130.6,132.55,72038.0
2020-03-20,140.0,149.25,137.4,146.4,194632.0
2020-03-19,132.0,145.0,124.5,140.0,226006.0
2020-03-18,145.0,145.0,131.5,133.1,63337.0
2020-03-17,138.55,143.7,137.7,140.6,55630.0
2020-03-16,148.4,148.4,139.75,141.35,62669.0
2020-03-13,135.0,153.05,121.9,148.4,149327.0
2020-03-12,152.8,152.8,139.7,143.4,2151479.0
2020-03-11,155.0,156.2,151.2,153.1,38465.0
2020-03-09,154.7239,156.5375,154.0117,155.0,503337.0
2020-03-06,158.0,160.45,154.55,159.25,85601.0
2020-03-05,161.85,162.55,157.85,161.8,105028.0
2020-03-04,164.7,164.7,156.2,161.8,99999.0
2020-03-03,160.5,163.0,158.5,162.05,159602.0
2020-03-02,165.1,168.0,159.2,159.95,80105.0
2020-02-28,170.0,170.0,161.4,164.75,118074.0
2020-02-27,170.25,171.65,167.7,171.1,77780.0
2020-02-26,175.0,175.0,168.15,170.35,52916.0
2020-02-25,174.65,175.9,170.7,174.5,81152.0
2020-02-24,180.0,180.0,173.0,173.6,47449.0
2020-02-20,178.95,179.75,177.6,178.0,39981.0
2020-02-19,178.5,179.35,177.2,178.15,20954.0
2020-02-18,177.2,178.05,173.9,177.6,50833.0
2020-02-17,178.5,179.65,175.65,177.4,61930.0
2020-02-14,182.2,182.6,177.8,178.65,57625.0
2020-02-13,180.9,182.6,179.05,180.75,74660.0
2020-02-12,177.5,181.75,177.5,180.45,60211.0
2020-02-11,179.3,180.95,176.55,177.3,124502.0
2020-02-10,184.9,184.9,177.9,178.4,158498.0
2020-02-07,184.9,185.0,181.45,182.05,57953.0
2020-02-06,189.5,189.5,181.9,182.95,153361.0
2020-02-05,188.45,190.05,178.7,186.35,429816.0
2020-02-04,196.0,201.5,187.0,188.45,315201.0
2020-02-03,190.0,196.0,189.5,195.5,42655.0
