Date,open,high,low,close,volume
2020-06-29,41.75,41.75,38.6,41.75,2543852.0
2020-06-26,41.749,41.8649,41.6509,41.75,153072.0
2020-06-25,41.5355,41.7502,41.5324,41.749,197541.0
2020-06-24,41.552,41.5688,41.5351,41.5355,830117.0
2020-06-23,33.85,34.5,33.7,34.45,616686.0
2020-06-22,32.65,33.25,31.5,32.9,272107.0
2020-06-19,32.2,32.4,31.55,31.7,379437.0
2020-06-18,31.85,32.15,31.0,31.9,425880.0
2020-06-17,31.9,32.75,31.2,31.9,287788.0
2020-06-16,34.15,34.4,31.6,32.05,456850.0
2020-06-15,31.9,33.2,30.9,33.2,510076.0
2020-06-12,30.45,32.45,30.45,31.65,466645.0
2020-06-11,32.9,33.8,32.05,32.05,494428.0
2020-06-10,34.3,34.5,33.7,33.7,385832.0
2020-06-09,34.4984,34.5385,34.1521,34.3,507623.0
2020-06-08,39.8,40.3,37.1,37.3,1407657.0
2020-06-05,36.25,38.4,35.8,38.4,1443626.0
2020-06-04,34.3,34.95,33.15,34.95,1544561.0
2020-06-03,30.6,31.8,30.3,31.8,750253.0
2020-06-02,25.9,29.2,25.75,28.95,2185112.0
2020-06-01,26.0077,26.0265,25.7905,25.9,409973.0
2020-05-29,20.7,20.8,19.75,20.3,637630.0
2020-05-28,20.4,20.45,19.95,20.05,770565.0
2020-05-27,19.75,20.05,19.4,19.85,459983.0
2020-05-26,19.9,20.0,19.55,19.65,361633.0
2020-05-22,19.55,20.35,19.55,19.6,1045554.0
2020-05-21,19.4,20.1,19.4,19.5,738655.0
2020-05-20,19.45,19.6,19.35,19.4,90586.0
2020-05-19,19.2,20.2,19.2,19.45,555438.0
2020-05-18,20.25,20.25,19.2,19.35,217039.0
2020-05-15,21.25,21.25,20.15,20.25,180620.0
2020-05-14,21.0,21.0,20.3,20.5,335551.0
2020-05-13,21.8,21.8,20.45,20.85,880817.0
2020-05-12,20.0,20.3,19.4,20.05,2010350.0
2020-05-11,20.3,20.35,19.4,19.95,388493.0
2020-05-08,20.55,20.55,20.0,20.1,464172.0
2020-05-07,20.4,20.65,20.25,20.35,128560.0
2020-05-06,20.9,20.9,20.25,20.35,254292.0
2020-05-05,21.35,21.35,20.25,20.55,1311905.0
2020-05-04,21.5,21.5,20.25,20.75,4024906.0
2020-04-30,21.5,21.9,21.35,21.5,944851.0
2020-04-29,21.2,21.4,21.1,21.25,841256.0
2020-04-28,21.0,21.5,20.75,21.05,2654906.0
2020-04-27,21.75,21.75,20.85,21.05,2074797.0
2020-04-24,21.5,21.6,20.95,21.05,880579.0
2020-04-23,21.4,22.1,21.25,21.4,935764.0
2020-04-22,21.5,21.7,20.95,21.35,661534.0
2020-04-21,21.9,22.1,20.7,21.1,1707041.0
2020-04-20,21.45,22.9,21.1,22.45,1129313.0
2020-04-17,21.2,21.5,20.8,21.15,185485.0
2020-04-16,21.3,21.3,20.2,20.75,71300.0
2020-04-15,20.7,21.25,20.45,20.55,123501.0
2020-04-13,21.25,21.4,20.25,20.75,71562.0
2020-04-09,21.4,21.95,20.6,21.25,241887.0
2020-04-08,19.85,22.6,19.5,19.85,151041.0
2020-04-07,19.9,20.8,19.55,20.05,120963.0
2020-04-03,19.9,19.9,19.0,19.5,122038.0
2020-04-01,19.3,19.45,18.6,19.3,98338.0
2020-03-31,19.85,20.0,19.05,19.3,121373.0
2020-03-30,19.7,19.7,18.75,19.0,92823.0
