Date,open,high,low,close,volume
2020-06-29,89.55,90.7,86.55,87.05,946202.0
2020-06-26,86.0,89.95,85.5,89.1,3040775.0
2020-06-25,85.45,88.15,84.7,85.05,1175603.0
2020-06-24,90.05,90.5,86.05,87.0,2568809.0
2020-06-23,88.3,90.5,88.15,89.35,1389235.0
2020-06-22,86.3,88.3,85.5,88.05,918721.0
2020-06-19,85.55,86.1,84.65,85.25,996344.0
2020-06-18,84.35,85.5,83.75,84.85,1853372.0
2020-06-17,84.0,85.9,83.95,84.35,453845.0
2020-06-16,87.5,88.25,83.8,84.8,1030575.0
2020-06-15,87.85,88.25,86.0,86.2,2319974.0
2020-06-12,85.6,88.55,85.1,88.35,3521133.0
2020-06-11,90.45,93.4,87.9,88.3,2095311.0
2020-06-10,91.0,92.05,89.1,90.05,1051869.0
2020-06-09,93.65,93.65,90.1,90.6,807251.0
2020-06-08,92.0,96.25,92.0,93.1,4521303.0
2020-06-05,86.5,90.0,86.25,89.45,1654468.0
2020-06-04,86.3,86.6,84.1,85.85,1615030.0
2020-06-03,86.7,88.95,86.25,87.0,1280902.0
2020-06-02,86.25,86.95,84.75,85.75,1063432.0
2020-06-01,85.05,87.25,84.55,86.1,1762329.0
2020-05-29,78.0,84.75,77.25,83.3,1652364.0
2020-05-28,77.1,78.8,77.1,77.7,483404.0
2020-05-27,77.15,77.9,76.0,77.6,597139.0
2020-05-26,76.5,77.8,76.35,77.15,994821.0
2020-05-22,74.5,75.85,72.8,75.45,809686.0
2020-05-21,74.4,74.85,73.05,74.45,480598.0
2020-05-20,72.6,74.5,72.0,74.1,552794.0
2020-05-19,72.6,73.45,71.8,72.1,741630.0
2020-05-18,75.85,75.85,71.15,71.55,1042014.0
2020-05-15,76.0,76.35,75.2,75.5,661594.0
2020-05-14,75.1,76.5,75.0,75.15,464304.0
2020-05-13,77.5,77.9,75.75,76.05,738782.0
2020-05-12,76.0,76.7,74.6,74.9,626464.0
2020-05-11,75.95,76.3,74.85,75.35,461365.0
2020-05-08,76.15,77.05,74.1,74.35,615825.0
2020-05-07,76.8,77.0,75.55,75.8,546209.0
2020-05-06,77.0,77.3,72.85,76.6,1270954.0
2020-05-05,81.3,82.1,78.4,78.75,601850.0
2020-05-04,84.0,84.0,79.6,79.8,630046.0
2020-04-30,81.95,84.6,81.4,84.25,1064564.0
2020-04-29,80.15,81.15,80.0,80.55,318980.0
2020-04-28,82.35,82.4,79.35,79.7,681308.0
2020-04-27,82.7,83.05,81.25,81.5,337271.0
2020-04-24,83.1,84.35,81.15,81.45,509549.0
2020-04-23,83.8,85.0,82.85,83.15,419208.0
2020-04-22,83.0,83.8,79.2,83.1,590212.0
2020-04-21,87.0,87.0,82.5,82.95,615978.0
2020-04-20,87.1,89.6,85.75,87.6,832745.0
2020-04-17,86.0,86.85,85.0,86.0,411585.0
2020-04-16,84.9,85.75,82.8,84.75,377206.0
2020-04-15,84.0,86.3,82.85,83.2,535889.0
2020-04-13,85.0,85.0,81.7,83.15,424985.0
2020-04-09,82.9,84.2,81.9,83.4,650792.0
2020-04-08,83.7,86.0,81.4,81.85,963373.0
2020-04-07,80.1,83.65,80.0,83.0,745739.0
2020-04-03,79.1,82.05,76.7,79.45,1039912.0
