Date,open,high,low,close,volume
2020-06-29,183.6,183.6,178.55,179.3,2342711.0
2020-06-26,187.9,188.6,183.75,184.6,4110491.0
2020-06-25,182.0,186.8,180.4,185.25,3286552.0
2020-06-24,193.65,194.8,183.95,184.6,3879718.0
2020-06-23,189.7,193.0,187.75,192.45,7069133.0
2020-06-22,185.0,191.7,184.6,187.75,5823394.0
2020-06-19,180.0,184.85,179.5,184.45,7052642.0
2020-06-18,172.6,180.5,171.2,179.7,6702036.0
2020-06-17,171.85,176.2,169.25,173.0,3732953.0
2020-06-16,177.6,178.8,169.5,172.85,5370198.0
2020-06-15,178.0,178.0,172.0,174.05,3319363.0
2020-06-12,170.7,180.1,170.0,179.25,5468766.0
2020-06-11,188.15,190.35,176.4,177.2,4351401.0
2020-06-10,185.15,189.0,183.9,187.8,3028053.0
2020-06-09,189.0,190.95,183.5,184.45,4684935.0
2020-06-08,197.7,197.7,185.8,186.8,7040658.0
2020-06-05,176.85,189.8,176.0,187.8,10714152.0
2020-06-04,175.0,177.6,171.55,174.05,3766966.0
2020-06-03,172.05,179.9,172.05,174.85,5534474.0
2020-06-02,170.3,171.25,167.25,170.25,4434379.0
2020-06-01,164.0,171.25,163.45,170.05,5423451.0
2020-05-29,156.0,161.85,155.4,160.3,8809780.0
2020-05-28,159.9,162.45,156.8,158.3,4928633.0
2020-05-27,152.0,160.8,150.75,158.6,3610636.0
2020-05-26,153.0,153.3,150.3,151.4,3441167.0
2020-05-22,152.9,155.6,149.55,150.85,5609931.0
2020-05-21,153.6,156.2,151.6,151.95,2922038.0
2020-05-20,153.35,155.15,151.2,153.45,3367090.0
2020-05-19,157.9,157.9,152.5,152.85,3782111.0
2020-05-18,166.8,166.8,155.0,155.4,3753668.0
2020-05-15,167.95,168.7,164.75,166.4,1795879.0
2020-05-14,171.5,171.8,167.55,167.95,2594684.0
2020-05-13,178.9,178.9,170.5,174.1,3865421.0
2020-05-12,164.8,168.45,160.9,166.7,3795172.0
2020-05-11,169.0,169.0,165.0,165.45,2884960.0
2020-05-08,173.0,173.6,166.15,166.7,3593054.0
2020-05-07,171.25,172.7,167.2,170.7,1969788.0
2020-05-06,171.45,173.35,166.55,171.05,4496935.0
2020-05-05,181.4,181.8,168.85,170.5,4880237.0
2020-05-04,184.7,184.7,178.0,178.8,3893150.0
2020-04-30,194.0,195.75,189.8,190.4,2845074.0
2020-04-29,185.3,191.7,183.8,190.0,2679334.0
2020-04-28,181.6,185.2,181.3,184.3,2078231.0
2020-04-27,182.9,183.5,180.5,180.85,1826256.0
2020-04-24,184.5,184.5,179.0,179.7,4049624.0
2020-04-23,188.25,189.9,185.25,186.8,3408851.0
2020-04-22,185.1,189.5,181.4,188.6,3433220.0
2020-04-21,188.95,188.95,183.0,184.9,2858972.0
2020-04-20,194.4,197.3,190.1,192.55,3386549.0
2020-04-17,195.05,198.0,186.4,193.3,4596208.0
2020-04-16,182.3,189.8,180.3,188.6,2923051.0
2020-04-15,187.45,191.9,180.25,182.3,3427072.0
2020-04-13,187.65,188.85,183.1,183.55,2181525.0
2020-04-09,187.75,190.0,183.75,187.7,2979988.0
2020-04-08,183.45,194.5,180.8,182.9,3804368.0
2020-04-07,184.8,187.2,177.65,186.35,3608366.0
2020-04-03,187.5,188.0,175.0,175.55,3410477.0
2020-04-01,195.5,195.5,185.3,186.6,2480900.0
2020-03-31,192.9,198.5,188.1,196.95,2918556.0
2020-03-30,191.8,195.0,185.5,186.95,2419781.0
2020-03-27,199.0,211.65,195.0,196.05,6482084.0
2020-03-26,191.65,201.0,185.2,192.85,6049159.0
2020-03-25,179.7,195.2,176.4,189.95,3639108.0
2020-03-24,192.5,192.5,173.6,183.35,4545274.0
2020-03-23,200.0,200.0,180.35,181.6,3925056.0
2020-03-20,205.45,215.6,200.1,209.65,3928083.0
2020-03-19,203.8,219.45,198.2,203.85,6592083.0
2020-03-18,220.85,223.8,200.1,214.65,5171714.0
2020-03-17,226.05,229.8,212.25,214.9,3410327.0
2020-03-16,230.0,231.35,220.65,223.25,3538109.0
2020-03-13,200.7,248.95,184.25,242.25,7737989.0
2020-03-12,232.7,232.7,208.8,212.75,4797165.0
2020-03-11,253.75,258.45,243.1,245.2,4067938.0
